Size,Time
1000000,0.000682
1000000,0.000712
1000000,0.000728
1000000,0.000701
1000000,0.000829
1000000,0.000694
1000000,0.000669
1000000,0.000708
1000000,0.000670
1000000,0.000681
1000000,0.000715
1000000,0.000642
1000000,0.000644
1000000,0.000745
1000000,0.000662
1000000,0.000667
1000000,0.000621
1000000,0.000639
1000000,0.000638
1000000,0.000623
1000000,0.000686
1000000,0.000674
1000000,0.000750
1000000,0.000665
1000000,0.000681
1000000,0.000653
1000000,0.000676
1000000,0.000673
1000000,0.000702
1000000,0.000694
1000000,0.000669
1000000,0.000731
1000000,0.000683
1000000,0.000651
1000000,0.000670
1000000,0.000663
1000000,0.000818
1000000,0.000683
1000000,0.000665
1000000,0.000746
1000000,0.000731
1000000,0.000664
1000000,0.000620
1000000,0.000652
1000000,0.000671
1000000,0.000650
1000000,0.000686
1000000,0.000686
1000000,0.000652
1000000,0.000670
1000000,0.000722
1000000,0.000699
1000000,0.000837
1000000,0.000656
1000000,0.000684
1000000,0.000670
1000000,0.000711
1000000,0.000666
1000000,0.000814
1000000,0.000676
1000000,0.000699
1000000,0.000847
1000000,0.000889
1000000,0.000715
1000000,0.000687
1000000,0.000679
1000000,0.000710
1000000,0.000701
1000000,0.000682
1000000,0.000728
1000000,0.000631
1000000,0.000644
1000000,0.000668
1000000,0.000617
1000000,0.000688
1000000,0.000658
1000000,0.000643
1000000,0.000680
1000000,0.000683
1000000,0.000649
1000000,0.000673
1000000,0.000659
1000000,0.000722
1000000,0.000688
1000000,0.000734
1000000,0.000697
1000000,0.000682
1000000,0.000729
1000000,0.000683
1000000,0.000710
1000000,0.000682
1000000,0.000649
1000000,0.000653
1000000,0.000673
1000000,0.000688
1000000,0.000654
1000000,0.000611
1000000,0.000709
1000000,0.000671
1000000,0.000620
5000000,0.003211
5000000,0.002928
5000000,0.002952
5000000,0.002907
5000000,0.003018
5000000,0.003094
5000000,0.002922
5000000,0.003289
5000000,0.003073
5000000,0.002948
5000000,0.002951
5000000,0.003065
5000000,0.002942
5000000,0.002878
5000000,0.002884
5000000,0.003258
5000000,0.003116
5000000,0.003150
5000000,0.003127
5000000,0.003823
5000000,0.003099
5000000,0.002897
5000000,0.002934
5000000,0.003090
5000000,0.003025
5000000,0.003097
5000000,0.003070
5000000,0.003325
5000000,0.003263
5000000,0.003098
5000000,0.003091
5000000,0.002947
5000000,0.003198
5000000,0.003032
5000000,0.003021
5000000,0.003207
5000000,0.003231
5000000,0.003332
5000000,0.003067
5000000,0.003042
5000000,0.002917
5000000,0.003085
5000000,0.003113
5000000,0.003119
5000000,0.003274
5000000,0.003459
5000000,0.003268
5000000,0.003183
5000000,0.003120
5000000,0.003062
5000000,0.003219
5000000,0.003375
5000000,0.003157
5000000,0.002886
5000000,0.002857
5000000,0.002862
5000000,0.003665
5000000,0.003103
5000000,0.003031
5000000,0.003118
5000000,0.003167
5000000,0.003200
5000000,0.003067
5000000,0.002997
5000000,0.002988
5000000,0.003192
5000000,0.002942
5000000,0.003196
5000000,0.003105
5000000,0.003216
5000000,0.003005
5000000,0.003188
5000000,0.003295
5000000,0.002908
5000000,0.003179
5000000,0.003118
5000000,0.003038
5000000,0.003181
5000000,0.003272
5000000,0.002984
5000000,0.002973
5000000,0.003207
5000000,0.002928
5000000,0.003048
5000000,0.003015
5000000,0.003209
5000000,0.003203
5000000,0.003132
5000000,0.003274
5000000,0.002887
5000000,0.003244
5000000,0.003199
5000000,0.003744
5000000,0.003165
5000000,0.003213
5000000,0.002999
5000000,0.002967
5000000,0.002903
5000000,0.003091
5000000,0.002937
10000000,0.005757
10000000,0.005684
10000000,0.005901
10000000,0.005642
10000000,0.005587
10000000,0.005708
10000000,0.006061
10000000,0.005657
10000000,0.005964
10000000,0.005558
10000000,0.005710
10000000,0.006480
10000000,0.006032
10000000,0.006618
10000000,0.006180
10000000,0.005644
10000000,0.005653
10000000,0.005697
10000000,0.005825
10000000,0.005914
10000000,0.006105
10000000,0.006166
10000000,0.005671
10000000,0.005772
10000000,0.005691
10000000,0.005815
10000000,0.005953
10000000,0.006069
10000000,0.005832
10000000,0.005650
10000000,0.005986
10000000,0.006129
10000000,0.005873
10000000,0.006067
10000000,0.006208
10000000,0.006073
10000000,0.005620
10000000,0.005669
10000000,0.005860
10000000,0.006065
10000000,0.005628
10000000,0.005619
10000000,0.005922
10000000,0.006028
10000000,0.010572
10000000,0.006248
10000000,0.008786
10000000,0.006660
10000000,0.006994
10000000,0.006750
10000000,0.006239
10000000,0.009200
10000000,0.006144
10000000,0.007095
10000000,0.010722
10000000,0.005950
10000000,0.005654
10000000,0.005786
10000000,0.005799
10000000,0.005766
10000000,0.005649
10000000,0.010234
10000000,0.006371
10000000,0.010183
10000000,0.006879
10000000,0.007646
10000000,0.006953
10000000,0.006498
10000000,0.006959
10000000,0.006531
10000000,0.005619
10000000,0.005699
10000000,0.005573
10000000,0.005728
10000000,0.005655
10000000,0.006062
10000000,0.005693
10000000,0.006017
10000000,0.005693
10000000,0.006305
10000000,0.005614
10000000,0.006071
10000000,0.005710
10000000,0.005657
10000000,0.005588
10000000,0.005583
10000000,0.005655
10000000,0.005982
10000000,0.006169
10000000,0.005977
10000000,0.005768
10000000,0.005709
10000000,0.005557
10000000,0.005975
10000000,0.005607
10000000,0.005993
10000000,0.005752
10000000,0.006093
50000000,0.027004
50000000,0.033025
50000000,0.030633
50000000,0.029060
50000000,0.027523
50000000,0.032495
50000000,0.027130
50000000,0.036968
50000000,0.026874
50000000,0.027312
50000000,0.030798
50000000,0.027681
50000000,0.028016
50000000,0.027091
50000000,0.026864
50000000,0.026841
50000000,0.027655
50000000,0.027385
50000000,0.029470
50000000,0.026950
50000000,0.027131
50000000,0.027761
50000000,0.029012
50000000,0.027136
50000000,0.026585
50000000,0.049642
50000000,0.030058
50000000,0.029209
50000000,0.035976
50000000,0.050827
50000000,0.026819
50000000,0.027880
50000000,0.026882
50000000,0.026974
50000000,0.029630
50000000,0.027048
50000000,0.027457
50000000,0.029474
50000000,0.027135
50000000,0.027635
50000000,0.027170
50000000,0.029412
50000000,0.029562
50000000,0.049813
50000000,0.029118
50000000,0.029433
50000000,0.027105
50000000,0.028174
50000000,0.029175
50000000,0.026796
50000000,0.027572
50000000,0.026836
50000000,0.027019
50000000,0.027536
50000000,0.030001
50000000,0.029957
50000000,0.027563
50000000,0.026895
50000000,0.027811
50000000,0.028865
50000000,0.030413
50000000,0.026746
50000000,0.026978
50000000,0.026835
50000000,0.029315
50000000,0.029412
50000000,0.027025
50000000,0.026827
50000000,0.027280
50000000,0.027318
50000000,0.026772
50000000,0.027164
50000000,0.026866
50000000,0.027008
50000000,0.026951
50000000,0.026933
50000000,0.026847
50000000,0.030653
50000000,0.027703
50000000,0.027973
50000000,0.027121
50000000,0.030187
50000000,0.029587
50000000,0.027093
100000000,0.053197
100000000,0.053029
100000000,0.067854
100000000,0.069550
100000000,0.059868
100000000,0.060463
100000000,0.060429
100000000,0.054011
100000000,0.055228
100000000,0.053355
100000000,0.053559
100000000,0.053409
100000000,0.057791
100000000,0.057604
100000000,0.053600
100000000,0.057628
100000000,0.053457
100000000,0.061193
100000000,0.053404
100000000,0.053639
100000000,0.054224
100000000,0.053650
100000000,0.059880
100000000,0.082207
100000000,0.057151
100000000,0.070312
100000000,0.059002
100000000,0.053568
100000000,0.056763
100000000,0.058686
100000000,0.053677
100000000,0.063783
100000000,0.059363
100000000,0.054903
100000000,0.055402
100000000,0.062790
100000000,0.064875
100000000,0.059929
100000000,0.053501
100000000,0.058366
100000000,0.053554
100000000,0.053784
100000000,0.053283
100000000,0.053103
100000000,0.054831
100000000,0.057255
100000000,0.054320
100000000,0.053433
100000000,0.053473
100000000,0.058477
100000000,0.053641
100000000,0.098849
100000000,0.070892
100000000,0.059503
100000000,0.059505
100000000,0.065681
100000000,0.053950
100000000,0.072095
100000000,0.055671
100000000,0.081039
100000000,0.060909
100000000,0.070573
100000000,0.054194
100000000,0.092646
100000000,0.054128
100000000,0.064652
100000000,0.061617
100000000,0.054812
100000000,0.069896
100000000,0.053472
100000000,0.121722
100000000,0.067517
100000000,0.054650
100000000,0.055631
100000000,0.073123
100000000,0.061569
100000000,0.053640
100000000,0.054770
100000000,0.059265
100000000,0.059777
100000000,0.058791
100000000,0.060207
100000000,0.067168
100000000,0.063773
100000000,0.081964
100000000,0.062365
100000000,0.053561
100000000,0.056904
100000000,0.053930
100000000,0.053802
500000000,0.277022
500000000,0.349530
500000000,0.287457
500000000,0.279843
500000000,0.286921
500000000,0.278798
500000000,0.294216
500000000,0.259491
500000000,0.267944
500000000,0.287506
500000000,0.300406
500000000,0.271611
500000000,0.308746
500000000,0.263069
500000000,0.266045
500000000,0.275874
500000000,0.296961
500000000,0.334610
500000000,0.265204
500000000,0.273208
500000000,0.259003
500000000,0.258456
500000000,0.258744
500000000,0.279622
500000000,0.335191
500000000,0.268661
500000000,0.294952
500000000,0.262284
500000000,0.294160
500000000,0.259854
500000000,0.293535
500000000,0.305901
500000000,0.278803
500000000,0.266179
500000000,0.295347
500000000,0.261324
500000000,0.287332
500000000,0.258218
500000000,0.258032
500000000,0.261852
500000000,0.289104
500000000,0.258451
500000000,0.281861
500000000,0.258403
500000000,0.263325
500000000,0.283991
500000000,0.293847
500000000,0.286069
500000000,0.272656
500000000,0.290496
500000000,0.258550
500000000,0.273981
500000000,0.290522
500000000,0.293134
500000000,0.342927
500000000,0.258306
500000000,0.259509
500000000,0.301873
500000000,0.268750
500000000,0.285571
500000000,0.258750
500000000,0.265018
500000000,0.277783
500000000,0.294152
500000000,0.267185
500000000,0.291286
500000000,0.258816
500000000,0.271117
500000000,0.284309
500000000,0.266111
500000000,0.283666
500000000,0.257392
500000000,0.276300
500000000,0.258575
500000000,0.289955
500000000,0.289366
500000000,0.257679
500000000,0.278445
500000000,0.274051
500000000,0.272280
500000000,0.274087
